Rank	Word		Frequency	Freq x Rank
01	AND		3678		3678
02	THE		2461		4922
03	OF		1364		4092
04	HE		655		2620
05	HIS		653		3265
06	TO		612		3672
07	IN		600		4200
08	UNTO		598		4784
09	THAT		520		4680
10	SAID		477		4770
11	HIM		387		4257
12	MY		343		4116
13	FOR		326		4238
14	WAS		317		4438
15	IT		299		4485
16	WITH		293		4688
17	THOU		284		4828
18	ME		283		5094
19	IS		278		5282
20	THY		278		5560
21	SHALL		259		5439
22	BE		257		5654
23	THEE		257		5911
24	THEY		255		6120
25	ALL		250		6250
26	GOD		231		6006
27	THEM		230		6210
28	NOT		225		6300
29	LORD		207		6003
30	WHICH		199		5970
