Rank	Word		Frequency	Freq x Rank
01	THE		3636		3636
02	OF		1725		3450
03	AND		1658		4974
04	HE		1126		4504
05	TO		1055		5275
06	IN		923		5538
07	THAT		871		6097
08	HIS		810		6480
09	YOU		729		6561
10	WAS		728		7280
11	IT		717		7887
12	WITH		561		6732
13	SYME		519		6747
14	SAID		507		7098
15	AS		497		7455
16	IS		470		7520
17	BUT		443		7531
18	HAD		429		7722
19	NOT		366		6954
20	AT		346		6920
21	THEY		318		6678
22	FOR		317		6974
23	ON		304		6992
24	ALL		293		7032
25	THIS		287		7175
26	HIM		279		7254
27	MAN		276		7452
28	LIKE		264		7392
29	HAVE		257		7453
30	BE		256		7680
