Rank	Word		Frequency	Freq x Rank
01	THE		14431		14431
02	OF		6609		13218
03	AND		6430		19290
04	TO		4625		18500
05	IN		4172		20860
06	THAT		3085		18510
07	HIS		2530		17710
08	IT		2522		20176
09	HE		1896		17064
10	BUT		1818		18180
11	AS		1741		19151
12	IS		1725		20700
13	WITH		1722		22386
14	WAS		1644		23016
15	FOR		1617		24255
16	ALL		1526		24416
17	THIS		1394		23698
18	AT		1319		23742
19	WHALE		1226		23294
20	BY		1204		24080
21	NOT		1151		24171
22	FROM		1088		23936
23	HIM		1067		24541
24	SO		1065		25560
25	ON		1062		26550
26	BE		1045		27170
27	ONE		921		24867
28	YOU		894		25032
29	THERE		869		25201
30	NOW		785		23550
