Rank	Word		Frequency	Freq x Rank
01	THE		334		334
02	YOU		265		530
03	ARTHUR		261		783
04	AND		185		740
05	OF		178		890
06	TO		151		906
07	IT		142		994
08	NO		131		1048
09	WE		122		1098
10	OH		112		1120
11	IS		111		1221
12	THAT		106		1272
13	LAUNCELOT		101		1313
14	IN		97		1358
15	WHAT		92		1380
16	HE		89		1424
17	KNIGHT		84		1428
18	NOT		82		1476
19	GALAHAD		80		1520
20	YOUR		76		1520
21	FATHER		75		1575
22	SIR		72		1584
23	NI		69		1587
24	BEDEVERE		67		1608
25	THIS		67		1675
26	KNIGHTS		65		1690
27	WELL		62		1674
28	HA		59		1652
29	HEAD		59		1711
30	ARE		58		1740
