Rank	Word		Frequency	Freq x Rank
01	FOR		100		100
02	LADY		88		176
03	TO		79		237
04	AND		76		304
05	SEEKS		72		360
06	WITH		46		276
07	MALE		42		294
08	LOOKING		34		272
09	SHIP		33		297
10	SLIM		33		330
11	FUN		31		341
12	ATTRACTIVE		29		348
13	RELATIONSHIP		29		377
14	BUILD		27		378
15	IN		27		405
16	GOOD		26		416
17	NON		25		425
18	SEEKING		25		450
19	SMOKER		23		437
20	GUY		22		440
21	HONEST		22		462
22	MOVIES		22		484
23	AGE		21		483
24	MARRIED		21		504
25	FRIENDSHIP		20		500
26	LIKE		20		520
27	DINING		19		513
28	FIT		19		532
29	OUT		19		551
30	RSHIP		19		570
