Rank	Word		Frequency	Freq x Rank
01	THE		10081		10081
02	OF		7103		14206
03	AND		5304		15912
04	TO		4535		18140
05	IN		2784		13920
06	OUR		2182		13092
07	THAT		1793		12551
08	WE		1744		13952
09	BE		1483		13347
10	IS		1461		14610
11	IT		1389		15279
12	FOR		1197		14364
13	BY		1083		14079
14	HAVE		1011		14154
15	WHICH		1006		15090
16	WITH		958		15328
17	NOT		957		16269
18	AS		947		17046
19	WILL		914		17366
20	THIS		836		16720
21	ALL		820		17220
22	ARE		813		17886
23	THEIR		753		17319
24	BUT		654		15696
25	HAS		622		15550
26	GOVERNMENT		600		15600
27	PEOPLE		584		15768
28	FROM		572		16016
29	ITS		572		16588
30	OR		559		16770
