No.	Word		Frequency

01	THE		14431
02	OF		6609
03	AND		6430
04	TO		4625
05	IN		4172
06	THAT		3085
07	HIS		2530
08	IT		2522
09	HE		1896
10	BUT		1818
11	AS		1741
12	IS		1725
13	WITH		1722
14	WAS		1644
15	FOR		1617
16	ALL		1526
17	THIS		1394
18	AT		1319
19	WHALE		1226
20	BY		1204
21	NOT		1151
22	FROM		1088
23	HIM		1067
24	SO		1065
25	ON		1062
26	BE		1045
27	ONE		921
28	YOU		894
29	THERE		869
30	NOW		785
