No.	Word		Frequency

01	FOR		100
02	LADY		88
03	TO		79
04	AND		76
05	SEEKS		72
06	WITH		46
07	MALE		42
08	LOOKING		34
09	SHIP		33
10	SLIM		33
11	FUN		31
12	ATTRACTIVE		29
13	RELATIONSHIP		29
14	BUILD		27
15	IN		27
16	GOOD		26
17	NON		25
18	SEEKING		25
19	SMOKER		23
20	GUY		22
21	HONEST		22
22	MOVIES		22
23	AGE		21
24	MARRIED		21
25	FRIENDSHIP		20
26	LIKE		20
27	DINING		19
28	FIT		19
29	OUT		19
30	RSHIP		19
