No.	Word		Frequency

01	THE		334
02	YOU		265
03	ARTHUR		261
04	AND		185
05	OF		178
06	TO		151
07	IT		142
08	NO		131
09	WE		122
10	OH		112
11	IS		111
12	THAT		106
13	LAUNCELOT		101
14	IN		97
15	WHAT		92
16	HE		89
17	KNIGHT		84
18	NOT		82
19	GALAHAD		80
20	YOUR		76
21	FATHER		75
22	SIR		72
23	NI		69
24	BEDEVERE		67
25	THIS		67
26	KNIGHTS		65
27	WELL		62
28	HA		59
29	HEAD		59
30	ARE		58
